Player_Name,Year,Matches_Batted,Runs_Scored,Batting_Average,Batting_Strike_Rate,Balls_Faced,Matches_Bowled,Balls_Bowled,Wickets_Taken,Bowling_Average,Economy_Rate,Batsman_Type,Bowler_Type,Batsman_Dominance,Bowler_Dominance,Rolling_Avg_Runs
Ravichandran Ashwin,2013.0,18,35.0,8.75,71.42,49.0,18,348,15.0,26.0,6.72,Anchor,Spin,10.627818038422049,2.9713946126329986,67.45454545454545
Ravichandran Ashwin,2012.0,19,18.0,6.0,120.0,15.0,19,395,14.0,30.85,6.56,Anchor,Spin,18.29240407920611,5.14158097365044,63.333333333333336
Ravichandran Ashwin,2011.0,16,2.0,1.0,33.33,6.0,16,378,20.0,19.4,6.15,Anchor,Spin,5.419424074405294,19.3980601939806,58.61538461538461
Ravichandran Ashwin,2010.0,12,30.0,7.5,75.0,40.0,12,288,13.0,22.53,6.1,Anchor,Spin,12.294880411796528,3.003959947200704,56.57142857142857
Ravichandran Ashwin,2009.0,2,8.0,8.0,53.33,15.0,2,24,2.0,6.5,3.25,Anchor,Spin,16.408725885357374,0.8124898438769516,53.333333333333336
Ravindra Jadeja,2024.0,14,267.0,44.5,142.78,187.0,14,282,8.0,46.13,7.85,Aggressive,Spin,18.188303333715496,1.0366268839845303,267.0
Ravindra Jadeja,2023.0,16,190.0,23.75,142.86,133.0,16,342,20.0,21.55,7.56,Aggressive,Spin,18.896575442123783,0.9073646005701029,228.5
Ravindra Jadeja,2022.0,10,116.0,19.33,118.37,98.0,10,198,5.0,49.6,7.52,Anchor,Spin,15.740482174439173,2.5659463737900996,191.0
Ravindra Jadeja,2021.0,16,227.0,75.66,145.51,156.0,16,294,13.0,26.61,7.06,Aggressive,Spin,20.61018965737029,0.3517045311861866,200.0
Ravindra Jadeja,2020.0,14,232.0,46.4,171.85,135.0,14,218,6.0,53.0,8.75,Aggressive,Pace,19.63977554542234,1.1422389175885397,206.4
Ravindra Jadeja,2019.0,16,106.0,35.33,120.45,88.0,16,324,15.0,22.86,6.35,Anchor,Spin,18.968205225114566,0.6470403423709528,189.66666666666666
Ravindra Jadeja,2018.0,16,89.0,17.8,120.27,74.0,16,246,11.0,27.54,7.39,Anchor,Spin,16.274475311565475,1.547182319200454,175.28571428571428
Ravindra Jadeja,2017.0,12,158.0,39.5,139.82,113.0,12,228,5.0,69.8,9.18,Anchor,Pace,15.230770906635003,1.7670841339642176,173.125
Ravindra Jadeja,2016.0,15,191.0,21.22,107.3,178.0,15,241,8.0,38.87,7.74,Anchor,Spin,13.862869988759835,1.8317538560138735,175.11111111111111
Ravindra Jadeja,2015.0,17,132.0,18.85,104.76,126.0,17,256,11.0,30.0,7.73,Anchor,Spin,13.55221795319595,1.5915034933501677,170.8
Ravindra Jadeja,2014.0,16,146.0,29.2,132.72,110.0,16,326,19.0,23.31,8.15,Anchor,Spin,16.28446276732801,0.7982849373803514,168.54545454545453
Ravindra Jadeja,2013.0,18,201.0,25.12,148.88,135.0,18,259,13.0,24.84,7.48,Aggressive,Spin,19.90347722624029,0.9888495666816612,171.25
Ravindra Jadeja,2012.0,19,191.0,15.91,126.49,151.0,19,210,12.0,22.75,7.8,Anchor,Spin,16.216458763349188,1.4299093028956449,172.76923076923077
Ravindra Jadeja,2011.0,14,283.0,31.44,124.12,228.0,14,252,8.0,38.12,7.26,Anchor,Spin,17.09618324816463,1.212464336945493,180.64285714285714
Ravindra Jadeja,2009.0,13,295.0,26.81,110.9,266.0,13,140,6.0,25.16,6.47,Anchor,Spin,17.140384228991827,0.9384522996930262,188.26666666666668
Ravindra Jadeja,2008.0,14,135.0,19.28,131.06,103.0,14,13,0.0,0.0,9.69,Anchor,Pace,13.525144219357903,0.0,184.9375
Reece Topley,2024.0,4,3.0,0.0,50.0,6.0,4,90,4.0,42.0,11.2,Anchor,Pace,4.464245854947724,420000.0,3.0
Reece Topley,2023.0,1,0.0,0.0,0.0,0.0,1,12,1.0,14.0,7.0,Anchor,Spin,0.0,140000.0,1.5
Rinku Singh,2024.0,14,168.0,18.67,148.67,113.0,14,0,0.0,0.0,0.0,Aggressive,Spin,1486699.9999999998,0.0,168.0
Rinku Singh,2023.0,14,474.0,59.25,149.53,317.0,14,0,0.0,0.0,0.0,Aggressive,Spin,1495300.0,0.0,321.0
Rinku Singh,2022.0,7,174.0,34.8,148.72,117.0,7,0,0.0,0.0,0.0,Aggressive,Spin,1487200.0,0.0,272.0
Rinku Singh,2020.0,1,11.0,11.0,100.0,11.0,1,0,0.0,0.0,0.0,Anchor,Spin,1000000.0,0.0,206.75
Rinku Singh,2019.0,5,37.0,18.5,108.82,34.0,5,0,0.0,0.0,0.0,Anchor,Spin,1088199.9999999998,0.0,172.8
Rinku Singh,2018.0,4,29.0,7.25,93.54,31.0,4,0,0.0,0.0,0.0,Anchor,Spin,935400.0,0.0,148.83333333333334
Rishabh Pant,2024.0,13,446.0,40.55,155.4,287.0,13,0,0.0,0.0,0.0,Aggressive,Spin,1554000.0,0.0,446.0
Rishabh Pant,2022.0,14,340.0,30.91,151.79,224.0,14,0,0.0,0.0,0.0,Aggressive,Spin,1517899.9999999998,0.0,393.0
Rishabh Pant,2021.0,16,419.0,34.91,128.52,326.0,16,0,0.0,0.0,0.0,Anchor,Spin,1285200.0,0.0,401.6666666666667
Rishabh Pant,2020.0,14,343.0,31.18,113.95,301.0,14,0,0.0,0.0,0.0,Anchor,Spin,1139500.0,0.0,387.0
Rishabh Pant,2019.0,16,488.0,37.53,162.66,300.0,16,0,0.0,0.0,0.0,Aggressive,Spin,1626600.0,0.0,407.2
Rishabh Pant,2018.0,14,684.0,52.61,173.6,394.0,14,0,0.0,0.0,0.0,Aggressive,Spin,1735999.9999999998,0.0,453.3333333333333
Rishabh Pant,2017.0,14,366.0,26.14,165.61,221.0,14,0,0.0,0.0,0.0,Aggressive,Spin,1656100.0,0.0,440.85714285714283
Rishabh Pant,2016.0,10,198.0,24.75,130.26,152.0,10,0,0.0,0.0,0.0,Anchor,Spin,1302599.9999999998,0.0,410.5
Riyan Parag,2024.0,15,573.0,52.09,149.22,384.0,16,18,0.0,0.0,9.0,Aggressive,Pace,16.57981577982467,0.0,573.0
Riyan Parag,2023.0,7,78.0,13.0,118.18,66.0,7,0,0.0,0.0,0.0,Anchor,Spin,1181800.0,0.0,325.5
Riyan Parag,2022.0,17,183.0,16.64,138.64,132.0,17,24,1.0,59.0,14.75,Anchor,Pace,9.39925831011315,3.545651768919658,278.0
Riyan Parag,2021.0,11,93.0,11.62,112.04,83.0,11,37,1.0,73.0,11.83,Anchor,Pace,9.470756798336447,6.282217881085361,231.75
Riyan Parag,2020.0,12,86.0,12.28,111.68,77.0,12,12,0.0,0.0,13.5,Anchor,Pace,8.272531314582855,0.0,202.6
Riyan Parag,2019.0,7,160.0,32.0,126.98,126.0,7,84,2.0,60.5,8.64,Anchor,Pace,14.696589159847687,1.8906190918153378,195.5
Robin Minz,,nan,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,Anchor,Spin,0.0,0.0,0.0
Rohit Sharma,2024.0,14,417.0,32.08,150.0,278.0,14,0,0.0,0.0,0.0,Aggressive,Spin,1500000.0,0.0,417.0
Rohit Sharma,2023.0,16,332.0,20.75,132.8,250.0,16,0,0.0,0.0,0.0,Anchor,Spin,1328000.0,0.0,374.5
Rohit Sharma,2022.0,14,268.0,19.14,120.18,223.0,14,0,0.0,0.0,0.0,Anchor,Spin,1201800.0,0.0,339.0
Rohit Sharma,2021.0,13,381.0,29.3,127.42,299.0,13,7,0.0,0.0,11.14,Anchor,Pace,11.437958366621485,0.0,349.5
